"No.","Time","Source","Destination","Length","Protocol","TCP Delta","Sequence Number","TCP Segment Len","ACK","Calculated window size","Bytes in flight","Info"
"1","0.000000","192.168.10.184","192.168.10.196","74","TCP","0.000000000","0","0","0","65535","","52343  >  5201 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM TSval=2027714706 TSecr=0"
"2","0.105354","192.168.10.196","192.168.10.184","66","TCP","0.105354000","0","0","1","65535","","5201  >  52343 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=4 SACK_PERM"
"3","0.105449","192.168.10.184","192.168.10.196","54","TCP","0.000095000","1","0","1","262144","","52343  >  5201 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"4","0.105480","192.168.10.184","192.168.10.196","91","iPerf3","0.000031000","1","37","1","262144","37","52343  >  5201 Cookie: ""Chriss-MBP.1587504839.785272.09f51cc"""
"5","0.268582","192.168.10.196","192.168.10.184","54","TCP","0.163102000","1","0","38","212952","","5201  >  52343 [ACK] Seq=1 Ack=38 Win=212952 Len=0"
"6","0.350994","192.168.10.184","192.168.10.196","1514","iPerf3","0.082412000","38","1460","1","262144","1460","52343  >  5201 Unknown 84(84) Unknown -5(-5) Unknown 49(49) Unknown 81(81) Unknown -74(-74) Unknown 70(70) Unknown 85(85) Unknown -29(-29) Unknown -118(-118) Unknown 48(48) Unknown 43(43) TEST_START(1) PARAM_EXCHANGE(9) Next message is JSON of this length: 3761114960[BoundErrorUnreassembled Packet]"
"7","0.350994","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","1498","1460","1","262144","2920","52343  >  5201[BoundErrorUnreassembled Packet]"
"8","0.350995","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","2958","1460","1","262144","4380","52343  >  5201[BoundErrorUnreassembled Packet]"
"9","0.350995","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","4418","1460","1","262144","5840","52343  >  5201[BoundErrorUnreassembled Packet]"
"10","0.351003","192.168.10.184","192.168.10.196","1514","iPerf3","0.000008000","5878","1460","1","262144","7300","52343  >  5201[BoundErrorUnreassembled Packet]"
"11","0.351004","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","7338","1460","1","262144","8760","52343  >  5201[BoundErrorUnreassembled Packet]"
"12","0.351004","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","8798","1460","1","262144","10220","52343  >  5201[BoundErrorUnreassembled Packet]"
"13","0.351004","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","10258","1460","1","262144","11680","52343  >  5201[BoundErrorUnreassembled Packet]"
"14","0.460172","192.168.10.196","192.168.10.184","54","TCP","0.109168000","1","0","11718","212992","","5201  >  52343 [ACK] Seq=1 Ack=11718 Win=212992 Len=0"
"15","0.460234","192.168.10.184","192.168.10.196","1514","iPerf3","0.000062000","11718","1460","1","262144","1460","52343  >  5201[BoundErrorUnreassembled Packet]"
"16","0.460234","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","13178","1460","1","262144","2920","52343  >  5201[BoundErrorUnreassembled Packet]"
"17","0.460235","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","14638","1460","1","262144","4380","52343  >  5201[BoundErrorUnreassembled Packet]"
"18","0.460235","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","16098","1460","1","262144","5840","52343  >  5201[BoundErrorUnreassembled Packet]"
"19","0.460236","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","17558","1460","1","262144","7300","52343  >  5201[BoundErrorUnreassembled Packet]"
"20","0.460236","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","19018","1460","1","262144","8760","52343  >  5201[BoundErrorUnreassembled Packet]"
"21","0.460237","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","20478","1460","1","262144","10220","52343  >  5201[BoundErrorUnreassembled Packet]"
"22","0.460237","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","21938","1460","1","262144","11680","52343  >  5201[BoundErrorUnreassembled Packet]"
"23","0.460238","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","23398","1460","1","262144","13140","52343  >  5201[BoundErrorUnreassembled Packet]"
"24","0.460238","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","24858","1460","1","262144","14600","52343  >  5201[BoundErrorUnreassembled Packet]"
"25","0.592291","192.168.10.196","192.168.10.184","54","TCP","0.132053000","1","0","26318","212992","","5201  >  52343 [ACK] Seq=1 Ack=26318 Win=212992 Len=0"
"26","0.592451","192.168.10.184","192.168.10.196","1514","iPerf3","0.000160000","26318","1460","1","262144","1460","52343  >  5201[BoundErrorUnreassembled Packet]"
"27","0.592454","192.168.10.184","192.168.10.196","1514","iPerf3","0.000003000","27778","1460","1","262144","2920","52343  >  5201[BoundErrorUnreassembled Packet]"
"28","0.592455","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","29238","1460","1","262144","4380","52343  >  5201[BoundErrorUnreassembled Packet]"
"29","0.592455","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","30698","1460","1","262144","5840","52343  >  5201[BoundErrorUnreassembled Packet]"
"30","0.592457","192.168.10.184","192.168.10.196","1514","iPerf3","0.000002000","32158","1460","1","262144","7300","52343  >  5201[BoundErrorUnreassembled Packet]"
"31","0.592458","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","33618","1460","1","262144","8760","52343  >  5201[BoundErrorUnreassembled Packet]"
"32","0.592459","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","35078","1460","1","262144","10220","52343  >  5201[BoundErrorUnreassembled Packet]"
"33","0.592460","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","36538","1460","1","262144","11680","52343  >  5201[BoundErrorUnreassembled Packet]"
"34","0.592460","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","37998","1460","1","262144","13140","52343  >  5201[BoundErrorUnreassembled Packet]"
"35","0.592462","192.168.10.184","192.168.10.196","1514","iPerf3","0.000002000","39458","1460","1","262144","14600","52343  >  5201[BoundErrorUnreassembled Packet]"
"36","0.592463","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","40918","1460","1","262144","16060","52343  >  5201[BoundErrorUnreassembled Packet]"
"37","0.592464","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","42378","1460","1","262144","17520","52343  >  5201[BoundErrorUnreassembled Packet]"
"38","0.714379","192.168.10.196","192.168.10.184","54","TCP","0.121915000","1","0","43838","212992","","5201  >  52343 [ACK] Seq=1 Ack=43838 Win=212992 Len=0"
"39","0.714538","192.168.10.184","192.168.10.196","1514","iPerf3","0.000159000","43838","1460","1","262144","1460","52343  >  5201[BoundErrorUnreassembled Packet]"
"40","0.714540","192.168.10.184","192.168.10.196","1514","iPerf3","0.000002000","45298","1460","1","262144","2920","52343  >  5201[BoundErrorUnreassembled Packet]"
"41","0.714540","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","46758","1460","1","262144","4380","52343  >  5201[BoundErrorUnreassembled Packet]"
"42","0.714541","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","48218","1460","1","262144","5840","52343  >  5201[BoundErrorUnreassembled Packet]"
"43","0.714542","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","49678","1460","1","262144","7300","52343  >  5201[BoundErrorUnreassembled Packet]"
"44","0.714543","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","51138","1460","1","262144","8760","52343  >  5201[BoundErrorUnreassembled Packet]"
"45","0.714543","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","52598","1460","1","262144","10220","52343  >  5201[BoundErrorUnreassembled Packet]"
"46","0.714544","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","54058","1460","1","262144","11680","52343  >  5201[BoundErrorUnreassembled Packet]"
"47","0.714545","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","55518","1460","1","262144","13140","52343  >  5201[BoundErrorUnreassembled Packet]"
"48","0.714546","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","56978","1460","1","262144","14600","52343  >  5201[BoundErrorUnreassembled Packet]"
"49","0.714546","192.168.10.184","192.168.10.196","1514","iPerf3","0.000000000","58438","1460","1","262144","16060","52343  >  5201[BoundErrorUnreassembled Packet]"
"50","0.714548","192.168.10.184","192.168.10.196","1514","iPerf3","0.000002000","59898","1460","1","262144","17520","52343  >  5201[BoundErrorUnreassembled Packet]"
"51","0.714549","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","61358","1460","1","262144","18980","52343  >  5201[BoundErrorUnreassembled Packet]"
"52","0.714550","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","62818","1460","1","262144","20440","52343  >  5201[BoundErrorUnreassembled Packet]"
"53","0.836374","192.168.10.196","192.168.10.184","54","TCP","0.121824000","1","0","64278","212992","","5201  >  52343 [ACK] Seq=1 Ack=64278 Win=212992 Len=0"
"54","0.836513","192.168.10.184","192.168.10.196","1514","iPerf3","0.000139000","64278","1460","1","262144","1460","52343  >  5201[BoundErrorUnreassembled Packet]"
"55","0.836515","192.168.10.184","192.168.10.196","1514","iPerf3","0.000002000","65738","1460","1","262144","2920","52343  >  5201[BoundErrorUnreassembled Packet]"
"56","0.836516","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","67198","1460","1","262144","4380","52343  >  5201[BoundErrorUnreassembled Packet]"
"57","0.836517","192.168.10.184","192.168.10.196","1514","iPerf3","0.000001000","68658","1460","1","262144","5840","52343  >  5201[BoundErrorUnreassembled Packet]"
